,배번,선수,G,Min,2P,2PA,%,3P,3PA,%,FG%,FT,FTA,%,eFG%,팀,ORB,DRB,RPG,Ast,APG,w/FT,w/oFT,STL,BS,GD,TO,DK,DKA,PTS,PPG
0,2,김명진,24,04:54:15,13,39,33.3,15,45,33.3,33.3,12,18,66.7,0.423,부산 KT 소닉붐,3,16,0.8,37,1.5,15,17,14,3,0,17,0,0,83,3.5
1,7,김민욱,42,12:38:59,100,158,63.3,42,119,35.3,51.3,34,42,81.0,0.588,부산 KT 소닉붐,63,108,4.1,37,0.9,37,33,19,33,0,27,0,0,360,8.6
2,9,김영환,54,25:18:12,103,176,58.5,63,189,33.3,45.5,75,103,72.8,0.541,부산 KT 소닉붐,80,140,4.1,128,2.4,31,39,45,10,2,54,0,0,470,8.7
3,34,김우재,2,00:05:32,0,2,0.0,0,0,0.0,0.0,0,2,0.0,0.0,부산 KT 소닉붐,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0
4,16,김윤태,24,06:59:03,34,59,57.6,14,58,24.1,41.0,6,12,50.0,0.47,부산 KT 소닉붐,13,26,1.6,62,2.6,20,36,24,2,2,33,0,0,116,4.8
5,13,김현민,48,11:48:56,100,188,53.2,0,0,0.0,53.2,47,70,67.1,0.532,부산 KT 소닉붐,83,122,4.3,38,0.8,51,65,23,15,5,43,11,12,247,5.1
6,12,데이빗 로건,17,07:06:17,58,105,55.2,56,137,40.9,47.1,14,18,77.8,0.587,부산 KT 소닉붐,9,37,2.7,65,3.8,9,8,23,3,2,38,3,3,298,17.5
7,4,마커스 랜드리,54,29:38:56,351,674,52.1,115,322,35.7,46.8,137,185,74.1,0.526,부산 KT 소닉붐,125,322,8.3,149,2.8,81,34,53,57,4,127,18,19,1184,21.9
8,23,박준영,9,01:23:09,12,23,52.2,1,7,14.3,43.3,5,6,83.3,0.45,부산 KT 소닉붐,10,13,2.6,8,0.9,7,4,4,0,0,5,0,0,32,3.6
9,3,박지훈,16,04:41:58,38,71,53.5,5,16,31.3,49.4,13,19,68.4,0.523,부산 KT 소닉붐,17,15,2,41,2.6,13,15,23,2,0,23,0,0,104,6.5
10,87,쉐인 깁슨,8,01:57:21,16,34,47.1,7,31,22.6,35.4,3,3,100.0,0.408,부산 KT 소닉붐,3,10,1.6,6,0.8,6,3,9,4,2,7,0,0,56,7
11,42,스테판 무디,1,00:08:14,1,2,50.0,0,3,0.0,20.0,3,4,75.0,0.2,부산 KT 소닉붐,0,0,0,0,0,1,1,1,0,0,0,0,0,5,5
12,11,양홍석,52,26:46:16,196,330,59.4,65,210,31.0,48.3,87,126,69.1,0.544,부산 KT 소닉붐,131,215,6.7,80,1.5,78,47,51,31,5,69,1,2,674,13
13,25,오창환,0,00:00:00,0,0,0.0,0,0,0.0,0.0,0,0,0.0,,부산 KT 소닉붐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20,이상민,0,00:00:00,0,0,0.0,0,0,0.0,0.0,0,0,0.0,,부산 KT 소닉붐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,이정제,34,05:28:45,43,88,48.9,0,1,0.0,48.3,18,28,64.3,0.483,부산 KT 소닉붐,38,46,2.5,14,0.4,26,25,12,3,3,12,0,0,104,3.1
