,팀명,1Q,2Q,3Q,4Q,EQ,Tot.Score,G,2P,2PA,2P%,3P,3PA,3P%,FG%,FT,FTA,FT%,ORB,DRB,TRB,Tot.RB,AST,w/FT,w/oFT,Tot.PF,TF,STL,TO,팀TO,GD,BS,팀FB,DK,DKA,교체
0,부산KT,1182,1121,1244,1083,52,4682,54,1225,2316,52.9,539,1601,33.7,45.0,615,855,71.9,673,1253,218,2144,894,475,460,935,6,397,601,23,40,176,273,34,39,1069
1,울산현대모비스,1154,1230,1278,1063,6,4731,54,1482,2637,56.2,383,1077,35.6,50.2,618,835,74.0,625,1551,171,2347,1083,414,400,814,5,327,689,39,32,218,371,58,62,895
2,원주DB,1031,1187,1243,997,83,4541,54,1273,2375,53.6,455,1482,30.7,44.8,630,912,69.1,593,1453,201,2247,932,606,468,1074,3,335,615,30,44,164,305,45,50,1253
3,고양오리온,987,1177,1160,1146,,4470,54,1324,2490,53.2,392,1152,34.0,47.1,646,893,72.3,554,1240,176,1970,958,598,520,1118,7,364,614,40,30,130,333,29,30,1527
4,서울삼성,1018,1013,1126,1148,33,4338,54,1258,2534,49.6,367,1204,30.5,43.5,721,1068,67.5,604,1235,198,2037,857,514,493,1007,9,401,602,28,43,162,234,63,65,1050
5,창원LG,1088,1169,1202,1102,72,4633,54,1381,2679,51.5,366,1130,32.4,45.9,773,1170,66.1,742,1384,206,2332,924,543,507,1050,8,407,606,30,34,138,334,91,96,1286
6,서울SK,1009,1025,1115,1071,36,4256,54,1255,2559,49.0,373,1170,31.9,43.7,627,855,73.3,569,1359,192,2120,890,514,459,973,5,359,576,25,40,177,337,33,36,1450
7,전주KCC,1169,1167,1131,1137,101,4705,54,1433,2646,54.2,344,1037,33.2,48.2,807,1156,69.8,527,1410,193,2130,912,534,463,997,6,402,625,29,59,128,386,74,75,1180
8,인천전자랜드,1097,1083,1190,1109,44,4523,54,1201,2343,51.3,480,1361,35.3,45.4,681,965,70.6,568,1390,181,2139,1005,516,530,1046,11,394,574,32,42,164,335,45,47,1264
9,안양KGC,1004,1115,1235,1082,89,4525,54,1131,2238,50.5,533,1646,32.4,42.8,664,933,71.2,657,1274,175,2106,894,586,498,1084,7,511,587,56,43,171,284,37,43,1819
